connect-1-1  | 2026-09-13T21:20:26,520 WARN   Postgres||lifecycle  Cannot obtain valid replication slot 'cdc_devices_clickhouse' for plugin 'pgoutput' and database 'devices' [during attempt 57 out of 900, concurrent tx probably blocks taking snapshot.   [io.debezium.connector.postgresql.connection.PostgresConnection]
connect-1-1  | 2026-09-13T21:20:28,521 WARN   Postgres||lifecycle  Cannot obtain valid replication slot 'cdc_devices_clickhouse' for plugin 'pgoutput' and database 'devices' [during attempt 58 out of 900, concurrent tx probably blocks taking snapshot.   [io.debezium.connector.postgresql.connection.PostgresConnection]
connect-1-1  | 2026-09-13T21:20:30,520 WARN   Postgres||lifecycle  Cannot obtain valid replication slot 'cdc_devices_clickhouse' for plugin 'pgoutput' and database 'devices' [during attempt 59 out of 900, concurrent tx probably blocks taking snapshot.   [io.debezium.connector.postgresql.connection.PostgresConnection]
connect-1-1  | 2026-09-13T21:20:32,519 WARN   Postgres||lifecycle  Cannot obtain valid replication slot 'cdc_devices_clickhouse' for plugin 'pgoutput' and database 'devices' [during attempt 60 out of 900, concurrent tx probably blocks taking snapshot.   [io.debezium.connector.postgresql.connection.PostgresConnection]
connect-1-1  | 2026-09-13T21:20:34,520 WARN   Postgres||lifecycle  Cannot obtain valid replication slot 'cdc_devices_clickhouse' for plugin 'pgoutput' and database 'devices' [during attempt 61 out of 900, concurrent tx probably blocks taking snapshot.   [io.debezium.connector.postgresql.connection.PostgresConnection]
connect-1-1  | 2026-09-13T21:20:36,519 WARN   Postgres||lifecycle  Cannot obtain valid replication slot 'cdc_devices_clickhouse' for plugin 'pgoutput' and database 'devices' [during attempt 62 out of 900, concurrent tx probably blocks taking snapshot.   [io.debezium.connector.postgresql.connection.PostgresConnection]
connect-1-1  | 2026-09-13T21:20:38,519 WARN   Postgres||lifecycle  Cannot obtain valid replication slot 'cdc_devices_clickhouse' for plugin 'pgoutput' and database 'devices' [during attempt 63 out of 900, concurrent tx probably blocks taking snapshot.   [io.debezium.connector.postgresql.connection.PostgresConnection]
connect-1-1  | 2026-09-13T21:20:40,519 WARN   Postgres||lifecycle  Cannot obtain valid replication slot 'cdc_devices_clickhouse' for plugin 'pgoutput' and database 'devices' [during attempt 64 out of 900, concurrent tx probably blocks taking snapshot.   [io.debezium.connector.postgresql.connection.PostgresConnection]
connect-1-1  | 2026-09-13T21:20:42,520 WARN   Postgres||lifecycle  Cannot obtain valid replication slot 'cdc_devices_clickhouse' for plugin 'pgoutput' and database 'devices' [during attempt 65 out of 900, concurrent tx probably blocks taking snapshot.   [io.debezium.connector.postgresql.connection.PostgresConnection]
connect-1-1  | 2026-09-13T21:20:44,521 WARN   Postgres||lifecycle  Cannot obtain valid replication slot 'cdc_devices_clickhouse' for plugin 'pgoutput' and database 'devices' [during attempt 66 out of 900, concurrent tx probably blocks taking snapshot.   [io.debezium.connector.postgresql.connection.PostgresConnection]
connect-1-1  | 2026-09-13T21:20:46,520 WARN   Postgres||lifecycle  Cannot obtain valid replication slot 'cdc_devices_clickhouse' for plugin 'pgoutput' and database 'devices' [during attempt 67 out of 900, concurrent tx probably blocks taking snapshot.   [io.debezium.connector.postgresql.connection.PostgresConnection]
connect-1-1  | 2026-09-13T21:20:48,519 WARN   Postgres||lifecycle  Cannot obtain valid replication slot 'cdc_devices_clickhouse' for plugin 'pgoutput' and database 'devices' [during attempt 68 out of 900, concurrent tx probably blocks taking snapshot.   [io.debezium.connector.postgresql.connection.PostgresConnection]
connect-1-1  | 2026-09-13T21:20:50,520 WARN   Postgres||lifecycle  Cannot obtain valid replication slot 'cdc_devices_clickhouse' for plugin 'pgoutput' and database 'devices' [during attempt 69 out of 900, concurrent tx probably blocks taking snapshot.   [io.debezium.connector.postgresql.connection.PostgresConnection]
connect-1-1  | 2026-09-13T21:20:52,521 WARN   Postgres||lifecycle  Cannot obtain valid replication slot 'cdc_devices_clickhouse' for plugin 'pgoutput' and database 'devices' [during attempt 70 out of 900, concurrent tx probably blocks taking snapshot.   [io.debezium.connector.postgresql.connection.PostgresConnection]
connect-1-1  | 2026-09-13T21:20:54,520 WARN   Postgres||lifecycle  Cannot obtain valid replication slot 'cdc_devices_clickhouse' for plugin 'pgoutput' and database 'devices' [during attempt 71 out of 900, concurrent tx probably blocks taking snapshot.   [io.debezium.connector.postgresql.connection.PostgresConnection]
connect-1-1  | 2026-09-13T21:20:56,520 WARN   Postgres||lifecycle  Cannot obtain valid replication slot 'cdc_devices_clickhouse' for plugin 'pgoutput' and database 'devices' [during attempt 72 out of 900, concurrent tx probably blocks taking snapshot.   [io.debezium.connector.postgresql.connection.PostgresConnection]
connect-1-1  | 2026-09-13T21:20:58,520 WARN   Postgres||lifecycle  Cannot obtain valid replication slot 'cdc_devices_clickhouse' for plugin 'pgoutput' and database 'devices' [during attempt 73 out of 900, concurrent tx probably blocks taking snapshot.   [io.debezium.connector.postgresql.connection.PostgresConnection]
connect-1-1  | 2026-09-13T21:21:00,520 WARN   Postgres||lifecycle  Cannot obtain valid replication slot 'cdc_devices_clickhouse' for plugin 'pgoutput' and database 'devices' [during attempt 74 out of 900, concurrent tx probably blocks taking snapshot.   [io.debezium.connector.postgresql.connection.PostgresConnection]
connect-1-1  | 2026-09-13T21:21:02,520 WARN   Postgres||lifecycle  Cannot obtain valid replication slot 'cdc_devices_clickhouse' for plugin 'pgoutput' and database 'devices' [during attempt 75 out of 900, concurrent tx probably blocks taking snapshot.   [io.debezium.connector.postgresql.connection.PostgresConnection]
connect-1-1  | 2026-09-13T21:21:04,520 WARN   Postgres||lifecycle  Cannot obtain valid replication slot 'cdc_devices_clickhouse' for plugin 'pgoutput' and database 'devices' [during attempt 76 out of 900, concurrent tx probably blocks taking snapshot.   [io.debezium.connector.postgresql.connection.PostgresConnection]
connect-1-1  | 2026-09-13T21:21:06,521 WARN   Postgres||lifecycle  Cannot obtain valid replication slot 'cdc_devices_clickhouse' for plugin 'pgoutput' and database 'devices' [during attempt 77 out of 900, concurrent tx probably blocks taking snapshot.   [io.debezium.connector.postgresql.connection.PostgresConnection]
connect-1-1  | 2026-09-13T21:21:08,523 WARN   Postgres||lifecycle  Cannot obtain valid replication slot 'cdc_devices_clickhouse' for plugin 'pgoutput' and database 'devices' [during attempt 78 out of 900, concurrent tx probably blocks taking snapshot.   [io.debezium.connector.postgresql.connection.PostgresConnection]
connect-1-1  | 2026-09-13T21:21:10,522 WARN   Postgres||lifecycle  Cannot obtain valid replication slot 'cdc_devices_clickhouse' for plugin 'pgoutput' and database 'devices' [during attempt 79 out of 900, concurrent tx probably blocks taking snapshot.   [io.debezium.connector.postgresql.connection.PostgresConnection]
connect-1-1  | 2026-09-13T21:21:12,523 WARN   Postgres||lifecycle  Cannot obtain valid replication slot 'cdc_devices_clickhouse' for plugin 'pgoutput' and database 'devices' [during attempt 80 out of 900, concurrent tx probably blocks taking snapshot.   [io.debezium.connector.postgresql.connection.PostgresConnection]
connect-1-1  | 2026-09-13T21:21:14,524 WARN   Postgres||lifecycle  Cannot obtain valid replication slot 'cdc_devices_clickhouse' for plugin 'pgoutput' and database 'devices' [during attempt 81 out of 900, concurrent tx probably blocks taking snapshot.   [io.debezium.connector.postgresql.connection.PostgresConnection]
connect-1-1  | 2026-09-13T21:21:16,523 WARN   Postgres||lifecycle  Cannot obtain valid replication slot 'cdc_devices_clickhouse' for plugin 'pgoutput' and database 'devices' [during attempt 82 out of 900, concurrent tx probably blocks taking snapshot.   [io.debezium.connector.postgresql.connection.PostgresConnection]
connect-1-1  | 2026-09-13T21:21:18,523 WARN   Postgres||lifecycle  Cannot obtain valid replication slot 'cdc_devices_clickhouse' for plugin 'pgoutput' and database 'devices' [during attempt 83 out of 900, concurrent tx probably blocks taking snapshot.   [io.debezium.connector.postgresql.connection.PostgresConnection]
connect-1-1  | 2026-09-13T21:21:20,525 WARN   Postgres||lifecycle  Cannot obtain valid replication slot 'cdc_devices_clickhouse' for plugin 'pgoutput' and database 'devices' [during attempt 84 out of 900, concurrent tx probably blocks taking snapshot.   [io.debezium.connector.postgresql.connection.PostgresConnection]
connect-1-1  | 2026-09-13T21:21:22,522 WARN   Postgres||lifecycle  Cannot obtain valid replication slot 'cdc_devices_clickhouse' for plugin 'pgoutput' and database 'devices' [during attempt 85 out of 900, concurrent tx probably blocks taking snapshot.   [io.debezium.connector.postgresql.connection.PostgresConnection]
connect-1-1  | 2026-09-13T21:21:24,523 WARN   Postgres||lifecycle  Cannot obtain valid replication slot 'cdc_devices_clickhouse' for plugin 'pgoutput' and database 'devices' [during attempt 86 out of 900, concurrent tx probably blocks taking snapshot.   [io.debezium.connector.postgresql.connection.PostgresConnection]
connect-1-1  | 2026-09-13T21:21:26,523 WARN   Postgres||lifecycle  Cannot obtain valid replication slot 'cdc_devices_clickhouse' for plugin 'pgoutput' and database 'devices' [during attempt 87 out of 900, concurrent tx probably blocks taking snapshot.   [io.debezium.connector.postgresql.connection.PostgresConnection]
connect-1-1  | 2026-09-13T21:21:28,523 WARN   Postgres||lifecycle  Cannot obtain valid replication slot 'cdc_devices_clickhouse' for plugin 'pgoutput' and database 'devices' [during attempt 88 out of 900, concurrent tx probably blocks taking snapshot.   [io.debezium.connector.postgresql.connection.PostgresConnection]
connect-1-1  | 2026-09-13T21:21:30,525 WARN   Postgres||lifecycle  Cannot obtain valid replication slot 'cdc_devices_clickhouse' for plugin 'pgoutput' and database 'devices' [during attempt 89 out of 900, concurrent tx probably blocks taking snapshot.   [io.debezium.connector.postgresql.connection.PostgresConnection]
connect-1-1  | 2026-09-13T21:21:32,523 WARN   Postgres||lifecycle  Cannot obtain valid replication slot 'cdc_devices_clickhouse' for plugin 'pgoutput' and database 'devices' [during attempt 90 out of 900, concurrent tx probably blocks taking snapshot.   [io.debezium.connector.postgresql.connection.PostgresConnection]
connect-1-1  | 2026-09-13T21:21:34,524 WARN   Postgres||lifecycle  Cannot obtain valid replication slot 'cdc_devices_clickhouse' for plugin 'pgoutput' and database 'devices' [during attempt 91 out of 900, concurrent tx probably blocks taking snapshot.   [io.debezium.connector.postgresql.connection.PostgresConnection]
